high_level_substr,sig_gene_seq
alpha-glucan,"GH13_46,GH97,1.B.14.6.1,8.A.46.1.1,null,null,GH13_36"
alpha-glucan,"GH13_7,null,8.A.46.1.6,1.B.14.6.1,LacI,2.A.2.6.3,null,GH65,GH13_46,GH13,null,null"
alpha-glucan,"GH31_14,GH31,GH66,null,8.A.46.1.5"
alpha-glucan,"GH31_14,GH31,GH66,null,8.A.46.1.5,1.B.14.6.1"
alpha-glucan,"GH31|CBM20,GH31|CBM35,0040266"
alpha-glucan,"GH31,GH66,null,8.A.46.1.5,1.B.14.6.1"
alpha-glucan,"GH32,2.A.1.5.3"
alpha-glucan,"GH32,2.A.1.5.3,LacI"
alpha-glucan,"GH32,4.A.1.2.12,GH32"
alpha-glucan,"GH32,4.A.1.2.12,GH32,LacI"
alpha-glucan,"GH32|CBM66,null,4.A.6.1.6,4.A.6.1.19,null,null,SBP_bac_1,GerE,HATPase_c,3.A.1.2.1"
alpha-glucan,"GH32,SBP_bac_1,3.A.1.1.10,3.A.1.1.10"
alpha-glucan,"GH32,SBP_bac_1,3.A.1.1.10,3.A.1.1.10,LacI"
alpha-glucan,"GH36,null,SBP_bac_1,3.A.1.1.28,3.A.1.1.28,GH36,null,null,GH13_31"
alpha-glucan,"GH4,4.A.1.1.16"
alpha-glucan,"GH4,GntR,4.A.1.1.16"
alpha-glucan,"GH65,GH97,GH31,GH66,null,8.A.46,1.B.14,null,null"
alpha-glucan,"GH97,GH13_19,GH13_38,GH31,CE1,GH13_46,GH65,null,2.A.2.6.3,LacI,1.B.14.6.1,8.A.46.1.1,null,null"
alpha-glucan,"GH97,GH13_19,GH13_38,GH31,null,GH13,GH65,null,2.A.2,LacI,1.B.14,8.A.46,null,null"
alpha-glucan,"GH97,GH13,GH13,null,1.B.14.6.1"
alpha-glucan,"GH97,GH13,GH13,null,null,1.B.14"
alpha-glucan,"GH97,GH13,GH13,null,null,1.B.14.6.1"
alpha-glucan,"GH97,GH13,GH13,null,TPR_2,1.B.14.6.1"
alpha-glucan,"GH97,GH13,null,8.A.46.1.3,1.B.14.6.1,FecR,GerE"
alpha-glucan,"GH97,GH31,GH66,null,8.A.46.1.5,1.B.14.6.1"
alpha-glucan,"GH97,GH31,GH66,null,null,1.B.14.6.1,null"
alpha-glucan,"GH97,GH31,null,8.A.46.1.5,1.B.14.6.1"
alpha-glucan,"GntR,GH4"
alpha-glucan,"GT35,GH77,3.A.1.1.26,3.A.1.1.26,3.A.1.1.26,LacI"
alpha-glucan,"GT35,GH77,3.A.1.1.26,3.A.1.1.26,3.A.1.1.26,null,LacI"
alpha-glucan,"GT35,GH77,LacI"
alpha-glucan,"GT35,GH77,LacI,3.A.1.1.27,3.A.1.1.27,3.A.1.1.27,3.A.1.1.27"
alpha-glucan,"GT35,GT5,null,CBM48|GH13_11,CBM48|GH13_9"
alpha-glucan,"GT35,GT5,null,CBM48|GH13_9"
alpha-glucan,"GT35,GT5,null,null,CBM48|GH13_9"
alpha-glucan,"GT5,null,null,CBM48|GH13_9"
alpha-glucan,"LacI,1.B.14.6.1,8.A.46.1.1,null,GH13_10"
alpha-glucan,"LacI,2.A.1.5.3,GH32"
alpha-glucan,"LacI,3.A.1.1.10,3.A.1.1.10,SBP_bac_1,GH32"
alpha-glucan,"LacI,3.A.1.1.10,3.A.1.1.29,null,GH32,PfkB"
alpha-glucan,"LacI,3.A.1.1.10,null,GH32"
alpha-glucan,"LacI,3.A.1.1.10,null,GH32,PfkB"
alpha-glucan,"LacI,3.A.1.1.29,null,GH32,PfkB"
alpha-glucan,"LacI,4.A.1.2.12,GH32,PfkB"
alpha-glucan,"LacI,GH13_18,2.A.1.2.93"
alpha-glucan,"LacI,GH13_2,2.A.2,null,GH97,1.B.14,null,8.A.9"
